证书签发完成,"Certificate Issued"
"内存服务 GC 执行成功","Memory service GC execution succeeded"
"内存服务 GC 执行失败","Memory service GC execution failed"
正在启动...,Starting...
启动成功,"Startup successful"
启动失败,"Start failed"
正在停止...,Stopping...
停止成功,"Stop succeeded"
停止失败,"Stop failed"
正在重启...,Restarting...
重启成功,"Restart succeeded"
重启失败,"Restart failed"
正在热重载...,"Hot reloading..."
热重载命令发送失败,"Failed to send hot reload command."
热重载失败：请检查网络连接后重试。,"Hot reload failed: Please check your network connection and try again."
确认执行该操作吗？此操作会影响流量接入状态。,"Are you sure you want to perform this operation? This operation will affect traffic access status."
确认,Confirm
成功,Success
失败,Failed
失败：请检查网络连接后重试。,"Failed: Please check your network connection and try again."
"请输入 Worker 数量（留空将使用默认值）","Please enter the number of Workers (leave blank to use default)"
例如：4,"For example: 4"
正在启动新实例...,"Starting new instance..."
启动命令已发送，请稍后刷新状态。,"Start command sent, please refresh status later."
启动失败：请检查网络连接后重试。,"Startup failed: Please check your network connection and try again."
增量刷新,增量刷新
全量兜底,全量兜底
全量刷新,全量刷新
无路由模块,无路由模块
未知,Unknown
线上应用商城,线上应用商城
本地应用商城,本地应用商城
已配置应用商城,已配置应用商城
未知应用商城,未知应用商城
插件商城,插件商城
安全,安全
项目安全策略,项目安全策略
策略审计,策略审计
项目,项目
仪表盘,仪表盘
暗色,暗色
亮色,亮色
概览,概览
规则,规则
项目策略,项目策略
商城,商城
"公网入口固定为项目隔离 Nginx；WLS 仅提供 127.0.0.1 明文 HTTP/1.1 回源","The public endpoint is fixed to project-isolated Nginx; WLS provides only a plaintext HTTP/1.1 upstream on 127.0.0.1"
"公网协议所有者：Nginx；WLS 仅提供内部 HTTP/1.1 回源。","Public protocol owner: Nginx; WLS provides only an internal HTTP/1.1 upstream."
"WLS 运行时","WLS 运行时"
工作进程、会话、内存服务,工作进程、会话、内存服务
"%{1} 个运行中，%{2} 个工作进程","%{1} 个运行中，%{2} 个工作进程"
攻击规则和防护日志,攻击规则和防护日志
"7 天内拦截 %{1} 次","7 天内拦截 %{1} 次"
"SSL 证书","SSL 证书"
证书和域名绑定,证书和域名绑定
就绪,Ready
"WLS 面板导航","WLS 面板导航"
"WLS 独立后台","WLS 独立后台"
"%{1} 二级菜单","%{1} 二级菜单"
插件面板,插件面板
"展开或收起 %{1} 菜单","展开或收起 %{1} 菜单"
插件二级菜单,插件二级菜单
关闭菜单,关闭菜单
打开菜单,打开菜单
独立服务器面板,独立服务器面板
切换主题,切换主题
项目后台,项目后台
返回框架后台,返回框架后台
面板操作结果,面板操作结果
面板操作警告,面板操作警告
应用商城端点,应用商城端点
商城端点,商城端点
"本地开发使用 https://app.weline.test:9523；部署测试从 deploy current.json 读取并使用 https://app.aiweline.com。","本地开发使用 https://app.weline.test:9523；部署测试从 deploy current.json 读取并使用 https://app.aiweline.com。"
来源,来源
插件刷新摘要,插件刷新摘要
能力重载,能力重载
面板插件刷新结果,面板插件刷新结果
路由已刷新,路由已刷新
路由未变化,路由未变化
注册模式,注册模式
注册模块,注册模块
路由模块,路由模块
面板菜单项,面板菜单项
商城控制区,商城控制区
"WLS 插件来源","WLS 插件来源"
"按 WLS 模块标签过滤应用商城","按 WLS 模块标签过滤应用商城"
"插件安装会打开带有 %{1} 和后台面过滤条件的应用商城。模块声明 WLS 面板能力元数据后，会出现在下方已安装列表中。","插件安装会打开带有 %{1} 和后台面过滤条件的应用商城。模块声明 WLS 面板能力元数据后，会出现在下方已安装列表中。"
已安装：%{1},已安装：%{1}
打开应用商城,打开应用商城
已安装应用,已安装应用
刷新面板插件,刷新面板插件
面板能力,面板能力
已安装面板插件,已安装面板插件
"已安装 %{1} 个","已安装 %{1} 个"
已安装插件发现失败：%{1},已安装插件发现失败：%{1}
"还没有安装 WLS 插件。","还没有安装 WLS 插件。"
"安装带有 module:wls 标签的模块即可扩展这个独立面板。","安装带有 module:wls 标签的模块即可扩展这个独立面板。"
插件,插件
模块,模块
标签,标签
面板入口,面板入口
无标签,无标签
未声明,未声明
打开面板,打开面板
无面板入口,无面板入口
未选择插件页面。,未选择插件页面。
"请从侧边栏选择插件能力；安装 WLS 模块后可刷新面板插件。","请从侧边栏选择插件能力；安装 WLS 模块后可刷新面板插件。"
安全概览,安全概览
防护,防护
高级规则,高级规则
安全数据警告,安全数据警告
"7 天事件","7 天事件"
"7 天拦截","7 天拦截"
"7 天严重","7 天严重"
"已拦截 IP","已拦截 IP"
项目安全下钻,项目安全下钻
"每个托管项目会展示最近 7 天攻击态势，点击后可进入过滤后的日志。","每个托管项目会展示最近 7 天攻击态势，点击后可进入过滤后的日志。"
"7 天范围","7 天范围"
未找到项目安全范围。,未找到项目安全范围。
添加托管项目或网关域名后，即可比较项目级攻击态势。,添加托管项目或网关域名后，即可比较项目级攻击态势。
全部托管项目,全部托管项目
无攻击,无攻击
近期无事件,近期无事件
无事件,无事件
事件,事件
拦截,拦截
主要类型,主要类型
最近事件,最近事件
"最近 IP","最近 IP"
查看日志,查看日志
编辑策略,编辑策略
为单个托管域名覆盖部分防护规则，其余规则继续使用公共兜底配置。,为单个托管域名覆盖部分防护规则，其余规则继续使用公共兜底配置。
自定义策略,自定义策略
全局兜底,全局兜底
请选择一个项目来编辑策略。,请选择一个项目来编辑策略。
可在项目卡片点击编辑策略，或在日志过滤器中选择明确的项目范围。,可在项目卡片点击编辑策略，或在日志过滤器中选择明确的项目范围。
更新时间,更新时间
未保存,未保存
启用项目覆盖,启用项目覆盖
策略继承图,策略继承图
保存前对比公共规则和当前项目策略。,保存前对比公共规则和当前项目策略。
继承,继承
暂无继承详情。,暂无继承详情。
请选择项目策略，对比公共规则和项目级规则值。,请选择项目策略，对比公共规则和项目级规则值。
全局值,全局值
项目生效值,项目生效值
启用规则,启用规则
窗口秒数,窗口秒数
最大请求数,"Max Request Count"
封禁秒数,封禁秒数
路径频率限制,路径频率限制
指定路径前缀可以覆盖全局频率限制。清空路径可移除该行，填写空白行可新增规则。,指定路径前缀可以覆盖全局频率限制。清空路径可移除该行，填写空白行可新增规则。
已启用,Enabled
路径前缀,"Path prefix"
唯一路径数,唯一路径数
"SSL 握手","SSL 握手"
最大失败次数,最大失败次数
快速关闭阈值,快速关闭阈值
未知路由封禁,未知路由封禁
仅峰值模式,仅峰值模式
连续次数,连续次数
"IP 白名单","IP 白名单"
"白名单 IP","白名单 IP"
每行一个条目,每行一个条目
受保护路径,受保护路径
路径,Path
保存项目策略,保存项目策略
移除自定义策略,移除自定义策略
安全策略审计,安全策略审计
近期策略变更会记录到面板审计列表，但不会保存完整规则内容。,近期策略变更会记录到面板审计列表，但不会保存完整规则内容。
最近变更,最近变更
审计动作,审计动作
全部动作,全部动作
公共规则已保存,公共规则已保存
项目策略已保存,项目策略已保存
项目策略已移除,项目策略已移除
"规则 JSON 已保存","规则 JSON 已保存"
审计来源,审计来源
全部来源,全部来源
可视化编辑器,可视化编辑器
项目策略编辑器,项目策略编辑器
"高级 JSON","高级 JSON"
审计域名,审计域名
"使用 * 表示全部域名","使用 * 表示全部域名"
变更区域,变更区域
任意区域,任意区域
搜索审计,搜索审计
动作、来源、域名或区域,动作、来源、域名或区域
审计数量,审计数量
应用审计过滤,应用审计过滤
重置审计,重置审计
还没有策略变更记录。,还没有策略变更记录。
保存公共规则或项目策略后，会在这里生成审计记录。,保存公共规则或项目策略后，会在这里生成审计记录。
未知时间,未知时间
范围,范围
全部,全部
全局规则,全局规则
项目标签,项目标签
变更,变更
已变更规则区域,已变更规则区域
公共规则编辑器,公共规则编辑器
"可视化字段会更新公共 AttackDetector 规则键，再保存合并后的 JSON。","可视化字段会更新公共 AttackDetector 规则键，再保存合并后的 JSON。"
AttackDetector,AttackDetector
最大唯一路径数,最大唯一路径数
受保护路径列表,受保护路径列表
没有待保存的规则变更。,没有待保存的规则变更。
"规则 JSON 无效，无法预览。","规则 JSON 无效，无法预览。"
"%{1} 项待保存变更","%{1} 项待保存变更"
变更前,变更前
变更后,变更后
规则变更预览,规则变更预览
"预览会显示保存合并 JSON 前，可视化字段将覆盖哪些内容。","预览会显示保存合并 JSON 前，可视化字段将覆盖哪些内容。"
