主题通知事件,"थीम अधिसूचना इवेंट"
拖入表单、表格、文本或按钮,"फॉर्म, टेबल, टेक्स्ट या बटन को खींचें और छोड़ें"
卡片底部,"कार्ड का निचला भाग"
拖入按钮或操作区,"बटन या कार्रवाई क्षेत्र को खींचें और छोड़ें"
详情,विवरण
拖入标签页内容,"टैब सामग्री को खींचें और छोड़ें"
图片,छवि
春季系列展示,"वसंत ऋतु संग्रह"
可在属性面板替换为媒体库图片,"मीडिया लाइब्रेरी से छवियों के साथ बदलें (गुण पैनल में)"
添加图片地址,"चित्र का URL जोड़ें"
弹窗标题,"पॉप-अप शीर्षक"
弹窗内容,"पॉप-अप सामग्री"
拖入弹窗内容,"पॉपअप सामग्री को खींचें और छोड़ें"
弹窗底部,"पॉप-अप नीचे"
拖入按钮,"बटन को खींचें और छोड़ें"
SALE,SALE
DEMO,DEMO
NEW,NEW
"您的订单已支付成功，预计 2 个工作日内发货。","आपका ऑर्डर सफलतापूर्वक भुगतान हो गया है, और यह अनुमानित रूप से 2 कार्य दिवसों के भीतर शिप किया जाएगा।"
订单已确认,"ऑर्डर की पुष्टि हो गई है"
清晰表达你的页面主张,"अपने पृष्ठ के मुख्य संदेश को स्पष्ट रूप से व्यक्त करें"
春季系列现已上架，精选面料与日常百搭款式，支持在线下单与门店自提。,"वसंत ऋतु संग्रह अब उपलब्ध है, जिसमें बेहतरीन कपड़े और रोजमर्रा के उपयोग के लिए उपयुक्त डिज़ाइन शामिल हैं। ऑनलाइन ऑर्डर और स्टोर से पिकअप उपलब्ध है।"
了解更多,"और जानें"
操作按钮,"क्रिया बटन"
标签,टैग
区块标题,"ब्लॉक शीर्षक"
区块内容,"ब्लॉक सामग्री"
拖入内容组件,"सामग्री घटक को खींचें और छोड़ें"
字段分组,"फ़ील्ड समूह"
拖入字段,"फ़ील्ड को खींचें और छोड़ें"
表单字段,"फॉर्म फ़ील्ड"
拖入字段或字段分组,"फ़ील्ड या फ़ील्ड समूह को खींचें और छोड़ें"
表单操作,"फॉर्म क्रियाएं"
栅格内容,"ग्रिड सामग्री"
末页,"अंतिम पृष्ठ"
促销活动,प्रचार
时令新章,时令新章
新的活动正在筹备,新的活动正在筹备
当前没有可展示的限时活动。您仍可浏览在售汉服、配饰与本季新作；活动上线后会在此处集中呈现。,当前没有可展示的限时活动。您仍可浏览在售汉服、配饰与本季新作；活动上线后会在此处集中呈现。
浏览全部商品,"सभी उत्पाद देखें"
查看购物帮助,查看购物帮助
指南,指南
个人资料,"व्यक्तिगत जानकारी"
这里是个人资料默认占位。会员模块接入后，会替换为真实资料表单、账户安全和地址入口。,"यह व्यक्तिगत जानकारी के लिए डिफ़ॉल्ट स्थान है। सदस्यता मॉड्यूल के जुड़ने के बाद, यह वास्तविक जानकारी फ़ॉर्म, खाता सुरक्षा और पता अनुभाग से बदल जाएगा।"
登录,लॉगिन
订单确认,"ऑर्डर की पुष्टि करें"
订单提交成功！,"ऑर्डर सफलतापूर्वक सबमिट किया गया!"
订单号：,"ऑर्डर नंबर:"
查看订单,"ऑर्डर देखें"
拖拽部件或容器到此处,"यहां विजेट या कंटेनर को खींचें और छोड़ें"
"空白布局不会渲染 header、footer 或面包屑","खाली कार्ट के लिए अनुशंसित सामग्री"
"Weline 首页","Weline होम पेज"
"干净的 Weline 首页","साफ Weline होमपेज"
