阿里云域名,"Alibaba Cloud Domain"
"已删除 %{1} 条非法记录","Deleted %{1} illegal record(s)"
"处理完成：%d 条非法记录","处理完成：%d 条非法记录"
"开始 v1.6.0 域名池数据迁移...","Starting v1.6.0 domain pool data migration..."
（试运行模式，不会实际修改数据）,"(Dry-run mode, data will not be actually modified)"
"步骤 1: 为根域名生成子域名到域名池...","Step 1: Generating subdomains for the root domain into the domain pool..."
"处理根域名: %{1}","Processing root domain: %{1}"
"新增 %{1} 个子域名","Add %{1} Subdomains"
"错误: %{1}","Error: %{1}"
"步骤 2: 迁移解析状态数据...","Step 2: Migrating resolution status data..."
"步骤 3: 为 WebsiteDomain 关联 pool_id...","Step 3: Associating pool_id with WebsiteDomain..."
"关联 %{1} -> pool_id=%{2}","Associate %{1} -> pool_id=%{2}"
"未找到匹配的池域名: %{1}","No matching pool domain found: %{1}"
迁移完成！统计：,"Migration completed! Statistics:"
"- 处理根域名: %{1}","- Process the root domain name: %{1}"
"- 新建池域名: %{1}","- New pool domain name: %{1}"
"- 更新池域名: %{1}","- Update pool domain name: %{1}"
"- 关联 WebsiteDomain: %{1}","- Associated WebsiteDomain: %{1}"
"- 错误数: %{1}","- Number of errors: %{1}"
%{1},%{1}
"（试运行模式已完成，移除 --dry-run 参数以实际执行）","(Dry-run mode completed, remove the --dry-run parameter to execute for real)"
迁移完成,"Migration completed"
"v1.6.0 域名池数据迁移","v1.6.0 domain name pool data migration"
获取域名池列表失败：%{1},"Domain pool list failed: %{1}"
参数错误,"Parameter error"
"试运行：发现 %{1} 条可清理记录","Dry run: %{1} row(s) can be removed"
"已清理 %{1} 条非法域名池记录","Removed %{1} invalid pool row(s)"
清理失败：%{1},"Cleanup failed: %{1}"
"将删除 %{n} 条 DNS 记录，并移除 %{p} 条域名池记录（试运行）","Dry run: would delete %{n} DNS record(s) and remove %{p} pool row(s)"
"已删除 %{n} 条 DNS 记录，已移除 %{p} 条域名池记录","Deleted %{n} DNS record(s), removed %{p} pool row(s)"
操作失败：%{1},"Operation failed: %{1}"
获取域名商列表失败：%{error},"Failed to get registrar list: %{error}"
域名商代码不能为空,"Domain registrar code cannot be empty"
未找到域名商适配器,"No domain registrar adapter found"
获取账号列表失败：%{error},"Failed to get account list: %{error}"
域名商渠道和账号名称不能为空,"Registrar provider and account name are required"
未找到域名商适配器：%{code},"Registrar adapter not found: %{code}"
请填写必填字段：%{1},"Fill in required fields: %{1}"
账号不存在,"Account not found"
保存成功,"Saved successfully"
保存失败：%{error},"Save failed: %{error}"
"账号 ID 不能为空","Account ID is required"
删除成功,"Deleted successfully"
删除失败：%{error},"Delete failed: %{error}"
连接测试成功,"Connection test successful"
连接测试失败,"Connection test failed"
连接测试失败：%{error},"Connection test failed: %{error}"
连接测试异常：%{error},"Connection test error: %{error}"
获取适配器列表失败：%{error},"Failed to get adapter list: %{error}"
请选择域名商账号并输入域名,"Please select an account and enter domains"
域名列表不能为空,"Domain list cannot be empty"
域名商账号不存在,"Registrar account not found"
未找到对应的域名商适配器,"Corresponding registrar adapter not found"
检查可用性失败：%{error},"Check availability failed: %{error}"
请选择域名商账号并添加购买域名,"Please select an account and add domains to purchase"
购买失败：%{error},"Purchase failed: %{error}"
获取订单列表失败：%{error},"Failed to get order list: %{error}"
"订单 ID 不能为空","Order ID is required"
订单不存在,"Order not found"
获取订单详情失败：%{error},"Failed to get order detail: %{error}"
获取域名列表失败：%{error},"Failed to retrieve domain list: %{error}"
请选择域名商账户,"Select a domain provider account"
获取失败：%{error},"Failed to get: %{error}"
请选择要导入的域名,"Please select the domain to import"
导入失败：%{error},"Import failed: %{error}"
同步失败：%{error},"Sync failed: %{error}"
请选择要删除的域名,"Please select the domain to delete"
"ID %{1}（%{2}）：该根域名正在被网站使用，不能删除。请先删除相关网站或解除域名绑定后再删除该域名。","ID %{1} (%{2}): The root domain name is being used by the website and cannot be deleted. Please delete the relevant website or unbind the domain name before deleting the domain name."
"删除完成：%{1} 个根域，%{2} 条池记录，%{3} 条 DNS 记录","Deletion complete: %{1} root domains, %{2} pool records, %{3} DNS records"
"（%{1} 个失败）","(%{1} Failed)"
删除失败：%{1},"Deletion failed: %{1}"
获取配置失败：%{error},"Failed to fetch configuration: %{error}"
配置保存成功,"Configuration saved successfully"
保存配置失败：%{error},"Save Configuration Failed: %{error}"
刷新成功,"Refresh Successful"
刷新失败：%{error},"Refresh Failed: %{error}"
"域名 ID 不能为空","Domain ID cannot be empty"
域名不存在,"Domain does not exist"
获取成功,"Successfully got"
获取成功（回退模式）,"Successfully got (fallback mode)"
"获取 DNS 记录失败：%{error}","Failed to get DNS records: %{error}"
"同步完成：新增 %{added}，更新 %{updated}，删除 %{deleted}","Sync completed: added %{added}, updated %{updated}, deleted %{deleted}"
"同步 DNS 记录失败：%{error}","Failed to sync DNS records: %{error}"
"域名 ID 和记录值不能为空","Domain ID and record value cannot be empty"
"添加 DNS 记录失败","Failed to add DNS record"
"添加 DNS 记录失败：%{error}","Failed to add DNS record: %{error}"
"域名 ID 和记录 ID 不能为空","Domain ID and record ID cannot be empty"
本地记录已删除,"Local record deleted"
本地记录已删除，远程删除失败：%{error},"Local record deleted, remote deletion failed: %{error}"
"删除 DNS 记录失败：%{error}","Failed to delete DNS record: %{error}"
请选择要添加DNS记录的域名,"Please select the domain to add a DNS record to"
无法获取服务器公网IP,"Unable to get server public IP"
记录值不能为空,"Record Value Cannot Be Empty"
"域名ID %{1} 不存在","Domain ID %{1} does not exist"
添加失败,"Add Failed"
"批量添加DNS记录完成：成功 %{1} 条，失败 %{2} 条","Batch add DNS records completed: succeeded %{1} entries, failed %{2} entries"
批量添加DNS记录失败：%{1},"Failed to batch add DNS records: %{1}"
未知,Unknown
"域名 DNS 已转移到其他服务商，无法通过 %{1} 管理解析","Domain DNS has been transferred to another provider and cannot be managed through %{1}"
"域名 DNS 已转移到 %{1}","Domain DNS has been transferred to %{1}"
"，您已有 %{1} 账户，请到该账户下管理此域名的 DNS 解析",", you already have a %{1} account. Please manage the DNS resolution for this domain under that account"
"，请先添加 %{1} 账户后再管理此域名的 DNS 解析",", please add a %{1} account first before managing the DNS resolution for this domain"
解析正常,"Parse Normal"
解析异常,"Parse Exception"
检测失败：%{error},"Detection failed: %{error}"
请选择要检测的域名,"Please select the domain to detect"
"检测完成：%{checked} 个域名，%{resolved} 个已解析，%{local} 个指向本服务器","Detection complete: %{checked} domains, %{resolved} resolved, %{local} pointing to this server."
批量检测失败：%{error},"Batch detection failed: %{error}"
自动解析失败：%{error},"Auto-resolution failed: %{error}"
"自动解析成功：添加了 %{count} 条记录","Auto-resolution succeeded: added %{count} record(s)"
请选择要解析的域名,"Please select domains to resolve"
"批量解析完成：成功 %{success} 个，失败 %{failed} 个","Batch resolution completed: %{success} succeeded, %{failed} failed"
批量解析失败：%{error},"Batch resolution failed: %{error}"
"转存完成：新增 %{added} 个，已存在 %{skipped} 个","Dump completed: %{added} added, %{skipped} already exist"
转存失败：%{error},"Dump failed: %{error}"
请选择要转存的域名,"Please select domains to transfer"
"批量转存完成：新增 %{added} 个，已存在 %{skipped} 个","Batch transfer completed: %{added} added, %{skipped} already exist"
批量转存失败：%{error},"Batch transfer failed: %{error}"
"批量转存完成：成功 %{1} 个子域名","Batch transfer completed: %{1} subdomains added"
"跳过 %{1} 个域名（IP不匹配）","Skipped %{1} domains (IP mismatch)"
"解析完成：成功 %{1} 个，失败 %{2} 个","Resolve completed: %{1} succeeded, %{2} failed"
解析失败：%{1},"Resolve failed: %{1}"
请选择要切换的域名,"Please select domains to switch"
"请输入目标 DNS 服务器或选择目标服务商","Please enter target DNS servers or select target provider"
"无法获取目标服务商的 Nameserver","Cannot get Nameservers for target provider"
找不到域名商账户,"Domain registrar account not found"
域名商适配器不存在,"Domain registrar adapter not found"
切换失败,"Switch Failed"
"DNS切换完成：成功 %{1} 个，失败 %{2} 个","DNS switch complete: %{1} succeeded, %{2} failed"
切换失败：%{1},"Switch failed: %{1}"
"全球领先的 CDN 和 DNS 服务商，提供免费 DDoS 防护","World-leading CDN and DNS provider with free DDoS protection"
"腾讯云 DNS 服务，国内解析速度快","Tencent Cloud DNS service with fast resolution in China"
"阿里云 DNS","Aliyun DNS"
"阿里云 DNS 服务，稳定可靠","Aliyun DNS service, stable and reliable"
